Name	Log2ratio_Log10fdr
Plin4	881.6618631
Gm14440	171.1263319
Rps13-ps2	145.5978249
Tsc22d3	124.355059
Smim3	107.0422634
Pkp2	105.9233305
Fkbp5	90.07155646
Agbl5	88.08689259
Tekt4	70.75578985
Xdh	69.47574044
Wipf3	57.37922317
Mfsd2a	54.54906258
Sult1a1	50.13871074
Rasd1	46.77191715
Hspa5	40.75183007
Sh2d4b	40.18369804
Lao1	39.01747207
Sdc4	38.65805851
Clock	37.46267967
Noxred1	36.71721279
Plekhf1	35.62865482
Smox	34.0316147
Rtp1	33.9948307
Fam83d	33.49787962
Cdkn1a	32.87671217
Gm11827	31.05578392
Hif3a	30.85363753
Mc4r	30.16919992
Plekhg4	29.41995617
Zfp189	28.75485391
Pdia4	27.87635381
Gpt2	26.99343738
Dio2	26.60416025
Itga10	26.01591912
Golm1	25.85941517
Pglyrp1	25.78244278
Itgad	23.84524881
Glipr2	23.07265168
Rin2	23.00405172
Maff	22.48677965
Arl4d	21.58077625
Gfod1	21.44067821
Paqr8	20.77231317
Nostrin	20.70327198
Slc2a1	20.6557807
Mertk	20.50536784
Tcim	20.5037227
Slco1b2	20.25666417
Etnppl	19.97120196
Atp10a	19.75957651
Acot11	19.65881703
Htra1	19.45319851
Otub2	18.93522079
Zbtb16	18.91594763
Dnajc3	18.60280835
Sdf2l1	18.49383185
Adam8	18.35139342
Gjb6	18.32920412
Spns2	18.27617569
Pdzd2	17.98533274
Pdia6	17.90763489
Adipor2	17.90589429
Ucp2	17.80204299
Fam107a	17.49680631
Tmem252	17.12369305
Cbln4	17.00327392
Arc	16.85259815
Manf	16.42544042
Nlrp6	16.33376363
Anxa11	16.15885358
Ky	16.04349192
Dok3	15.87716386
Spry4	15.74377209
Cys1	15.67418328
Rin1	15.46517898
Matn2	15.42410608
Itga11	15.19027173
Cyp2a5	14.79404644
Lrrc8c	14.59014422
Fas	14.47368968
Tm6sf2	14.1683035
Htr1b	14.04282602
Slfn2	13.93771142
Dusp4	13.71576315
Mettl7a1	13.52392317
P4ha1	13.45880422
Plat	13.43856469
Dusp5	13.3734033
Prkcd	13.3615663
Mdga1	13.29902861
Ly6c1	13.17982954
A3galt2	13.15536871
Wdr95	13.13626155
Tnfrsf25	12.94147914
Egr2	12.81483858
Misp	12.66285604
Tiparp	12.62102547
Cdh19	12.57585792
Mt2	12.1727389
Slc38a2	12.15102994
Bcl6	12.08708921
Irs2	11.78065785
