NAME	Description	GSM3118997	GSM3118998	GSM3118999	GSM3119000	GSM3119001	GSM3119002	GSM3119003	GSM3119004	GSM3119005	GSM3119006	GSM3119007	GSM3119008	GSM3119009	GSM3119010	GSM3119011	GSM3119012	GSM3119013	GSM3119014	GSM3119015	GSM3119016
ENSMUSG00000000001	N/A	1032.6	1031.9	1098	1040.2	1086.4	1137	1185.8	1129	1006.9	1043	1128.5	1192.9	1261.9	1190.5	1069.1	1136.9	1101.6	1134.9	1177.7	1152.8
ENSMUSG00000000028	N/A	56.244	57.325	56.1	65.326	56.879	47.947	61.364	51.731	56.272	55.825	39.91	61.23	68.722	60.742	58.072	66.618	68.32	72.581	66.986	76.253
ENSMUSG00000000031	N/A	1.2227	3.2296	4.08	2.5125	1.896	5.708	8.6428	1.6422	4.7891	3.7217	2.7524	1.0934	2.3697	18.897	7.4452	1.4482	1.5353	3.7705	0.72028	11.632
ENSMUSG00000000037	N/A	47.074	50.059	66.811	43.97	69.202	27.398	39.757	54.194	50.286	75.363	19.267	20.774	29.622	67.491	23.825	69.515	17.656	15.082	22.329	24.556
ENSMUSG00000000049	N/A	10.393	16.148	13.26	5.0251	12.324	27.398	22.471	16.422	16.762	14.887	12.386	10.934	17.773	14.848	13.401	18.827	25.332	15.082	16.566	9.047
ENSMUSG00000000056	N/A	1895.2	1974.1	1788.6	1716.1	1713.9	1779.7	1825.4	1758.8	1909.7	1546.3	2045.1	2192.2	2258.3	2040.9	2047.4	2101.4	2323.6	1859.8	2063.6	1770.6
ENSMUSG00000000058	N/A	1311.9	989.06	1455.6	1639.4	1492.1	1350.5	1216	1308.9	1513.4	1631	1034.9	988.42	1175.4	1503.7	1325.2	1065.9	1163	923.76	1037.2	1500.5
ENSMUSG00000000078	N/A	2189.8	2271.2	2242.5	2351.7	2357.6	2054.9	2344.8	2485.5	2130	2464.7	1816.6	2021.7	2033.2	1999.1	1976	2014.5	1810.9	2022.9	2071.5	1924.4
ENSMUSG00000000085	N/A	1676.3	1789.2	1702.9	1821.6	1677.9	1766	1576.4	1716.1	1940.8	1672	1720.3	1534	1664.7	1696.7	1797.3	1772.6	1811.6	1536.5	1687.6	1543.2
ENSMUSG00000000088	N/A	3889.4	3401.6	3771	2756.3	2825	3605.1	3448.5	3520.2	2893.8	2781	4408	3310.8	3842.5	3346.2	2705.6	4034.8	3872.7	3375.5	3757.7	2802
ENSMUSG00000000093	N/A	84.977	98.502	84.661	95.477	93.85	71.92	66.549	76.364	101.77	75.363	56.425	60.136	58.058	82.339	46.16	34.757	69.855	51.844	55.462	60.744
ENSMUSG00000000094	N/A	6.7248	7.2666	10.2	7.5376	6.6359	11.416	1.7286	6.569	8.3809	6.5129	2.7524	8.7471	5.9243	8.0989	7.4452	4.3447	4.6058	4.7131	7.2028	2.5849
ENSMUSG00000000120	N/A	25.065	20.992	28.56	22.613	34.127	21.69	19.878	23.813	22.748	27.912	9.6335	21.868	15.403	24.297	16.379	23.172	13.817	14.139	12.245	9.047
